Feature_Name,Domain_Area,Data_Type,Null_Count,Unique_Values
BF_Blast_Flow,Blast Furnace,Float,0,49123
BF_Blower_Current,Blast Furnace,Float,0,49953
BF_Blower_Vibration,Blast Furnace,Float,0,49682
BF_Burden_Level,Blast Furnace,Float,0,48622
BF_CO,Blast Furnace,Float,0,49160
BF_Cooling_Water_Flow,Blast Furnace,Float,0,49876
BF_Cooling_Water_Temperature,Blast Furnace,Float,0,50000
BF_Gas_Pressure,Blast Furnace,Float,0,49951
BF_H2,Blast Furnace,Float,0,49954
BF_Top_Pressure,Blast Furnace,Float,0,50000
BF_Top_Temperature,Blast Furnace,Float,0,47580
CO_CO,Coke Oven,Float,0,48308
CO_Flue_Temperature,Coke Oven,Float,0,50000
CO_Gas_Pressure,Coke Oven,Float,0,50000
CO_NH3,Coke Oven,Float,0,49356
CO_Oven_Temperature,Coke Oven,Float,0,48520
CO_Pusher_Current,Coke Oven,Float,0,50000
CO_Pusher_Vibration,Coke Oven,Float,0,49785
CO_Quenching_Water_Flow,Coke Oven,Float,0,49460
CO_Steam_Temperature,Coke Oven,Float,0,50000
Shift_Type,General Context,Categorical,0,3
Worker_Count,Worker,Integer,0,10
PPE_Compliance,Worker,Boolean,0,2
Maintenance_Active,Maintenance,Boolean,0,2
Permit_Type,Maintenance,Numeric,32196,3
CCTV_Event,General Context,Numeric,0,2
Ambient_Temp,Environment,Float,0,50000
Gas_Test_Completed,Maintenance,Boolean,0,2
BF_Blast_Flow_roll_avg_5,Rolling Features,Float,0,49840
BF_Blast_Flow_roll_grad_5,Rolling Features,Float,0,49833
BF_Blast_Flow_roll_avg_15,Rolling Features,Float,0,49991
BF_Blast_Flow_roll_grad_15,Rolling Features,Float,0,49963
BF_Blast_Flow_roll_avg_30,Rolling Features,Float,0,49993
BF_Blast_Flow_roll_grad_30,Rolling Features,Float,0,49984
BF_Blower_Current_roll_avg_5,Rolling Features,Float,0,50000
BF_Blower_Current_roll_grad_5,Rolling Features,Float,0,50000
BF_Blower_Current_roll_avg_15,Rolling Features,Float,0,50000
BF_Blower_Current_roll_grad_15,Rolling Features,Float,0,50000
BF_Blower_Current_roll_avg_30,Rolling Features,Float,0,50000
BF_Blower_Current_roll_grad_30,Rolling Features,Float,0,50000
BF_Blower_Vibration_roll_avg_5,Rolling Features,Float,0,49927
BF_Blower_Vibration_roll_grad_5,Rolling Features,Float,0,49926
BF_Blower_Vibration_roll_avg_15,Rolling Features,Float,0,50000
BF_Blower_Vibration_roll_grad_15,Rolling Features,Float,0,49999
BF_Blower_Vibration_roll_avg_30,Rolling Features,Float,0,49994
BF_Blower_Vibration_roll_grad_30,Rolling Features,Float,0,49990
BF_Burden_Level_roll_avg_5,Rolling Features,Float,0,49505
BF_Burden_Level_roll_grad_5,Rolling Features,Float,0,49430
BF_Burden_Level_roll_avg_15,Rolling Features,Float,0,49920
BF_Burden_Level_roll_grad_15,Rolling Features,Float,0,49750
BF_Burden_Level_roll_avg_30,Rolling Features,Float,0,49901
BF_Burden_Level_roll_grad_30,Rolling Features,Float,0,49823
BF_CO_roll_avg_5,Rolling Features,Float,0,49672
BF_CO_roll_grad_5,Rolling Features,Float,0,49668
BF_CO_roll_avg_15,Rolling Features,Float,0,49962
BF_CO_roll_grad_15,Rolling Features,Float,0,49949
BF_CO_roll_avg_30,Rolling Features,Float,0,50000
BF_CO_roll_grad_30,Rolling Features,Float,0,49992
BF_Cooling_Water_Flow_roll_avg_5,Rolling Features,Float,0,49986
BF_Cooling_Water_Flow_roll_grad_5,Rolling Features,Float,0,49986
BF_Cooling_Water_Flow_roll_avg_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Flow_roll_grad_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Flow_roll_avg_30,Rolling Features,Float,0,50000
BF_Cooling_Water_Flow_roll_grad_30,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_avg_5,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_grad_5,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_avg_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_grad_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_avg_30,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_grad_30,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_5,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_5,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_15,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_15,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_30,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_30,Rolling Features,Float,0,50000
BF_H2_roll_avg_5,Rolling Features,Float,0,49995
BF_H2_roll_grad_5,Rolling Features,Float,0,49994
BF_H2_roll_avg_15,Rolling Features,Float,0,50000
BF_H2_roll_grad_15,Rolling Features,Float,0,50000
BF_H2_roll_avg_30,Rolling Features,Float,0,50000
BF_H2_roll_grad_30,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_5,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_5,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_15,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_15,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_30,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_30,Rolling Features,Float,0,50000
BF_Top_Temperature_roll_avg_5,Rolling Features,Float,0,48158
BF_Top_Temperature_roll_grad_5,Rolling Features,Float,0,48141
BF_Top_Temperature_roll_avg_15,Rolling Features,Float,0,49142
BF_Top_Temperature_roll_grad_15,Rolling Features,Float,0,49086
BF_Top_Temperature_roll_avg_30,Rolling Features,Float,0,49743
BF_Top_Temperature_roll_grad_30,Rolling Features,Float,0,49634
CO_CO_roll_avg_5,Rolling Features,Float,0,49776
CO_CO_roll_grad_5,Rolling Features,Float,0,49670
CO_CO_roll_avg_15,Rolling Features,Float,0,49887
CO_CO_roll_grad_15,Rolling Features,Float,0,49793
CO_CO_roll_avg_30,Rolling Features,Float,0,49924
CO_CO_roll_grad_30,Rolling Features,Float,0,49818
CO_Flue_Temperature_roll_avg_5,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_5,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_avg_15,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_15,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_avg_30,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_30,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_5,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_5,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_15,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_15,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_30,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_30,Rolling Features,Float,0,50000
CO_NH3_roll_avg_5,Rolling Features,Float,0,49850
CO_NH3_roll_grad_5,Rolling Features,Float,0,49841
CO_NH3_roll_avg_15,Rolling Features,Float,0,49963
CO_NH3_roll_grad_15,Rolling Features,Float,0,49961
CO_NH3_roll_avg_30,Rolling Features,Float,0,49986
CO_NH3_roll_grad_30,Rolling Features,Float,0,49984
CO_Oven_Temperature_roll_avg_5,Rolling Features,Float,0,48968
CO_Oven_Temperature_roll_grad_5,Rolling Features,Float,0,48957
CO_Oven_Temperature_roll_avg_15,Rolling Features,Float,0,49461
CO_Oven_Temperature_roll_grad_15,Rolling Features,Float,0,49402
CO_Oven_Temperature_roll_avg_30,Rolling Features,Float,0,49742
CO_Oven_Temperature_roll_grad_30,Rolling Features,Float,0,49683
CO_Pusher_Current_roll_avg_5,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_5,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_avg_15,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_15,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_avg_30,Rolling Features,Float,0,50000
CO_Pusher_Current_roll_grad_30,Rolling Features,Float,0,50000
CO_Pusher_Vibration_roll_avg_5,Rolling Features,Float,0,49984
CO_Pusher_Vibration_roll_grad_5,Rolling Features,Float,0,49983
CO_Pusher_Vibration_roll_avg_15,Rolling Features,Float,0,49996
CO_Pusher_Vibration_roll_grad_15,Rolling Features,Float,0,49994
CO_Pusher_Vibration_roll_avg_30,Rolling Features,Float,0,49994
CO_Pusher_Vibration_roll_grad_30,Rolling Features,Float,0,49995
CO_Quenching_Water_Flow_roll_avg_5,Rolling Features,Float,0,49849
CO_Quenching_Water_Flow_roll_grad_5,Rolling Features,Float,0,49848
CO_Quenching_Water_Flow_roll_avg_15,Rolling Features,Float,0,49992
CO_Quenching_Water_Flow_roll_grad_15,Rolling Features,Float,0,49988
CO_Quenching_Water_Flow_roll_avg_30,Rolling Features,Float,0,49973
CO_Quenching_Water_Flow_roll_grad_30,Rolling Features,Float,0,49965
CO_Steam_Temperature_roll_avg_5,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_5,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_avg_15,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_15,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_avg_30,Rolling Features,Float,0,50000
CO_Steam_Temperature_roll_grad_30,Rolling Features,Float,0,50000
Process_Stability_Index,Engineered Features,Float,0,49895
Gas_Risk_Index,Engineered Features,Float,0,13186
Equipment_Health_Index,General Context,Float,0,7842
Worker_Exposure_Index,Worker,Float,0,12787
Thermal_Risk_Index,Engineered Features,Float,0,6937
Maintenance_Risk_Index,Engineered Features,Float,0,8
Data_Quality_Score,General Context,Float,0,3
Safety_Lead_Indicator,Engineered Features,Integer,0,2
Prediction_Window,Engineered Features,Integer,0,1
